input_id,round_id,fc1_min_abs_diff,fc1_max_abs_diff,fc1_mean_abs_diff,fc2_min_abs_diff,fc2_max_abs_diff,fc2_mean_abs_diff,fc3_min_abs_diff,fc3_max_abs_diff,fc3_mean_abs_diff,all_layers_max_diff,all_layers_min_of_max,real_input,pred_input,inverse_method
8,2,0.031291574239730835,2.4614474773406982,0.8756234645843506,0.11291274428367615,2.597663640975952,0.9223313927650452,0.0,0.0,0.0,2.597663640975952,0.0,"[-0.7425553202629089, 0.9800682663917542, -1.2760063409805298, -1.3126027584075928]","[0.23875342309474945, 0.20480206608772278, 0.11404094099998474, -0.3316260576248169]",svd
8,3,0.018327444791793823,2.464902877807617,0.8754392266273499,0.11291274428367615,2.606877088546753,0.9237407445907593,0.0,0.0,0.0,2.606877088546753,0.0,"[-0.7425553202629089, 0.9800682663917542, -1.2760063409805298, -1.3126027584075928]","[0.23920860886573792, 0.20401889085769653, 0.1134636178612709, -0.3320937752723694]",regularized
9,1,0.024085938930511475,2.7133731842041016,0.9583925008773804,0.12070956826210022,2.7083816528320312,0.9795550107955933,0.0,0.0,0.0,2.7133731842041016,0.0,"[-0.9863491654396057, 1.2036579847335815, -1.3333120346069336, -1.3126027584075928]","[0.2691076397895813, 0.2198430895805359, 0.10216138511896133, -0.3599337935447693]",pseudo_inverse
9,2,0.024085938930511475,2.7133731842041016,0.9583925008773804,0.12070956826210022,2.7083816528320312,0.9795550107955933,0.0,0.0,0.0,2.7133731842041016,0.0,"[-0.9863491654396057, 1.2036579847335815, -1.3333120346069336, -1.3126027584075928]","[0.2691076397895813, 0.2198430895805359, 0.10216138511896133, -0.3599337935447693]",svd
9,3,0.024085938930511475,2.7172000408172607,0.9586266279220581,0.12119045853614807,2.7183825969696045,0.9811012148857117,0.0,0.0,0.0,2.7183825969696045,0.0,"[-0.9863491654396057, 1.2036579847335815, -1.3333120346069336, -1.3126027584075928]","[0.2696070969104767, 0.21903595328330994, 0.10159236937761307, -0.3604602515697479]",regularized
10,1,0.02118372917175293,3.108137607574463,1.121161937713623,0.0969470739364624,2.7800445556640625,1.072189450263977,0.0,0.0,0.0,3.108137607574463,0.0,"[-0.7425553202629089, 2.3216066360473633, -1.2760063409805298, -1.4460878372192383]","[0.34115278720855713, 0.25083982944488525, 0.06633494794368744, -0.41801154613494873]",pseudo_inverse
10,2,0.02118372917175293,3.108137607574463,1.121161937713623,0.0969470739364624,2.7800445556640625,1.072189450263977,0.0,0.0,0.0,3.108137607574463,0.0,"[-0.7425553202629089, 2.3216066360473633, -1.2760063409805298, -1.4460878372192383]","[0.34115278720855713, 0.25083982944488525, 0.06633494794368744, -0.41801154613494873]",svd
10,3,0.016898036003112793,3.1081061363220215,1.120358943939209,0.0965573787689209,2.7919085025787354,1.0740013122558594,0.0,0.0,0.0,3.1081061363220215,0.0,"[-0.7425553202629089, 2.3216066360473633, -1.2760063409805298, -1.4460878372192383]","[0.34168997406959534, 0.25009486079216003, 0.06491512805223465, -0.4183988869190216]",regularized
11,1,0.00841522216796875,1.5483629703521729,0.45267412066459656,0.00904187560081482,1.755077600479126,0.7014614343643188,0.0,0.0,0.0,1.755077600479126,0.0,"[-0.011173883453011513, -0.808649480342865, 0.78699791431427, 0.956642746925354]","[0.17381134629249573, 0.06297507137060165, 0.23900321125984192, 0.20651480555534363]",pseudo_inverse
11,2,0.00841522216796875,1.5483629703521729,0.45267412066459656,0.00904187560081482,1.755077600479126,0.7014614343643188,0.0,0.0,0.0,1.755077600479126,0.0,"[-0.011173883453011513, -0.808649480342865, 0.78699791431427, 0.956642746925354]","[0.17381134629249573, 0.06297507137060165, 0.23900321125984192, 0.20651480555534363]",svd
11,3,0.007328212261199951,1.5483629703521729,0.45237186551094055,0.00904187560081482,1.7575048208236694,0.7014806270599365,0.0,0.0,0.0,1.7575048208236694,0.0,"[-0.011173883453011513, -0.808649480342865, 0.78699791431427, 0.956642746925354]","[0.1729154884815216, 0.06362222135066986, 0.23849648237228394, 0.20705443620681763]",regularized
12,1,0.0023263543844223022,0.9479941129684448,0.3163544535636902,0.003099411725997925,1.0068658590316772,0.30700644850730896,0.0,0.0,0.0,1.0068658590316772,0.0,"[0.23261994123458862, 0.7564785480499268, 0.4431639015674591, 0.556187629699707]","[0.002759002149105072, 0.04311211034655571, 0.26272374391555786, 0.07795296609401703]",pseudo_inverse
12,2,0.0023263543844223022,0.9479941129684448,0.3163544535636902,0.003099411725997925,1.0068658590316772,0.30700644850730896,0.0,0.0,0.0,1.0068658590316772,0.0,"[0.23261994123458862, 0.7564785480499268, 0.4431639015674591, 0.556187629699707]","[0.002759002149105072, 0.04311211034655571, 0.26272374391555786, 0.07795296609401703]",svd
12,3,0.0023263543844223022,0.947303056716919,0.3162563741207123,0.003099411725997925,1.0081242322921753,0.30688589811325073,0.0,0.0,0.0,1.0081242322921753,0.0,"[0.23261994123458862, 0.7564785480499268, 0.4431639015674591, 0.556187629699707]","[0.0023410171270370483, 0.043273963034152985, 0.26268455386161804, 0.07857570052146912]",regularized
13,1,0.014814049005508423,1.2744557857513428,0.38829877972602844,0.13986366987228394,1.6042540073394775,0.5794260501861572,0.0,0.0,0.0,1.6042540073394775,0.0,"[1.0858982801437378, 0.08570939302444458, 0.5577752590179443, 0.4227026104927063]","[0.0626516044139862, 0.047489166259765625, 0.264737606048584, 0.146351158618927]",pseudo_inverse
13,2,0.014814049005508423,1.2744557857513428,0.38829877972602844,0.13986366987228394,1.6042540073394775,0.5794260501861572,0.0,0.0,0.0,1.6042540073394775,0.0,"[1.0858982801437378, 0.08570939302444458, 0.5577752590179443, 0.4227026104927063]","[0.0626516044139862, 0.047489166259765625, 0.264737606048584, 0.146351158618927]",svd
13,3,0.01504555344581604,1.2744557857513428,0.38820090889930725,0.13986366987228394,1.606539249420166,0.5794517993927002,0.0,0.0,0.0,1.606539249420166,0.0,"[1.0858982801437378, 0.08570939302444458, 0.5577752590179443, 0.4227026104927063]","[0.061947740614414215, 0.047552116215229034, 0.26492881774902344, 0.14679086208343506]",regularized
14,1,0.020252063870429993,2.6999549865722656,0.9662151336669922,0.008925303816795349,2.5126726627349854,0.9261811971664429,0.0,0.0,0.0,2.6999549865722656,0.0,"[-0.49876150488853455, 1.8744271993637085, -1.3906177282333374, -1.0456327199935913]","[0.2848655581474304, 0.22708237171173096, 0.09853366762399673, -0.3539210557937622]",pseudo_inverse
14,2,0.020252063870429993,2.6999549865722656,0.9662151336669922,0.008925303816795349,2.5126726627349854,0.9261811971664429,0.0,0.0,0.0,2.6999549865722656,0.0,"[-0.49876150488853455, 1.8744271993637085, -1.3906177282333374, -1.0456327199935913]","[0.2848655581474304, 0.22708237171173096, 0.09853366762399673, -0.3539210557937622]",svd
